Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\location\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\maps,2,22,6,4,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\maps\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\measurement,2,22,6,4,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\measurement\impl,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\places,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\places\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\tasks,2,22,6,4,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\android\gms\tasks\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase,16,176,48,32,0,32,0,96,512,96,512
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\auth,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\auth\api,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\database,2,22,6,4,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\database\connection,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase,7,77,21,14,0,14,0,42,224,42,224
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\auth,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\auth\api,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\auth\api\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\common,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\common\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\database,2,22,6,4,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\database\connection,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\database\connection\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\database\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\iid,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\iid\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\storage,2,22,6,4,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\storage\api,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\storage\api\license,1,11,3,2,0,2,0,6,32,6,32
