Word,Count
#ConstraintLayout_Layout_layout_constraintEnd_toStartOf,4
#MaterialEditText_met_iconRight,4
#SearchView_defaultQueryHint,4
#AppBarLayoutStates_state_collapsible,4
#MaterialDrawer_material_drawer_primary_icon,4
#DrawerArrowToggle_gapBetweenBars,4
#Toolbar_android_gravity,4
#MaterialEditText_met_singleLineEllipsis,4
#BezelImageView_biv_selectorOnPress,4
#MenuItem_android_icon,4
android:alpha,4
#ConstraintSet_android_orientation,4
#AppCompatTheme_actionBarTabTextStyle,4
#CoordinatorLayout_statusBarBackground,4
android.R.attr#layout_height},4
#AppCompatTheme_actionModeCloseDrawable,4
#TextInputLayout_errorTextAppearance,4
#ConstraintLayout_Layout_layout_constraintLeft_toLeftOf,4
#AppCompatTheme_searchViewStyle,4
#SignInButton_buttonSize,4
#TextInputLayout_android_textColorHint,4
#MapAttrs_liteMode,4
#TabLayout_tabPaddingStart,4
<tr><td>container</td><td>10000</td><td></td></tr>,4
android:menuCategory,4
android.R.attr#icon},4
#ForegroundLinearLayout_android_foregroundGravity,4
#Toolbar_logoDescription,4
#AppCompatTheme_listPreferredItemHeightLarge,4
#ConstraintSet_layout_constraintLeft_toRightOf,4
<tr><td>pin</td><td>1</td><td></td></tr>,4
#Toolbar_contentInsetRight,4
#ActionBar_titleTextStyle,4
#TextAppearance_android_textSize,4
